Feature,Importance
25102_87351,0.04989604989605029
25137_87454,0.03326403326403345
25137_87455,0.03326403326403345
25102_87353,0.031185031185031645
25127_87416,0.029106029106029187
25138_87456,0.029106029106029187
25130_87425,0.027027027027027167
25123_87403,0.024948024948025144
25136_87452,0.02494802494802471
25120_87393,0.02286902286902312
25108_87364,0.022869022869022686
25119_87390,0.022869022869022686
25122_87401,0.02079002079002088
25127_87415,0.02079002079002088
25121_87398,0.020790020790020663
25097_87341,0.018711018711018858
25097_87342,0.018711018711018858
25123_87402,0.018711018711018858
25121_87397,0.01871101871101864
25108_87365,0.014553014553014594
25110_87371,0.014553014553014594
25118_87388,0.014553014553014594
25129_87421,0.014553014553014594
25116_87383,0.014553014553014379
25116_87384,0.014553014553014379
25126_87413,0.014553014553014379
25129_87420,0.014553014553014379
25135_87450,0.012474012474012572
25135_87451,0.012474012474012572
25110_87369,0.012474012474012355
25122_87400,0.012474012474012355
25125_87409,0.012474012474012355
25125_87410,0.012474012474012355
25114_87379,0.010395010395010331
25114_87380,0.010395010395010331
25115_87381,0.010395010395010116
25115_87382,0.010395010395010116
25124_87405,0.010395010395010116
25095_87337,0.008316008316008525
25136_87453,0.008316008316008525
25120_87394,0.008316008316008308
25128_87418,0.008316008316008308
25139_87458,0.008316008316008308
25139_87459,0.008316008316008308
25100_87347,0.008316008316008093
25100_87348,0.008316008316008093
25107_87362,0.008316008316008093
25107_87363,0.008316008316008093
25127_87414,0.008316008316008093
25098_87343,0.006237006237006502
25098_87344,0.006237006237006502
25112_87374,0.006237006237006502
25112_87375,0.006237006237006502
25124_87406,0.006237006237006502
25138_87457,0.006237006237006502
25103_87354,0.006237006237006286
25103_87355,0.006237006237006286
25119_87391,0.006237006237006286
25121_87396,0.006237006237006286
25123_87404,0.006237006237006286
25124_87407,0.006237006237006286
25102_87352,0.00623700623700607
25117_87385,0.00623700623700607
25117_87386,0.00623700623700607
25118_87389,0.00623700623700607
25120_87395,0.004158004158004262
25122_87399,0.004158004158004262
25129_87422,0.004158004158004262
25096_87338,0.004158004158004046
25096_87340,0.004158004158004046
25104_87356,0.004158004158004046
25104_87357,0.004158004158004046
25113_87378,0.004158004158004046
25130_87424,0.004158004158004046
25111_87372,0.0020790020790024556
25111_87373,0.0020790020790024556
25108_87366,0.0020790020790022396
25126_87412,0.0020790020790022396
25128_87417,0.0020790020790022396
25099_87345,0.002079002079002023
25099_87346,0.002079002079002023
25105_87358,0.002079002079002023
25105_87359,0.002079002079002023
25106_87360,0.002079002079002023
25106_87361,0.002079002079002023
25110_87370,0.002079002079002023
25113_87376,0.002079002079002023
25113_87377,0.002079002079002023
25118_87387,0.002079002079002023
25119_87392,0.002079002079002023
25126_87411,0.002079002079002023
25130_87423,0.002079002079002023
25128_87419,0.0020790020790018068
25095_87335,0.0
25095_87336,0.0
25096_87339,0.0
25101_87349,0.0
25101_87350,0.0
25109_87367,0.0
25109_87368,0.0
25125_87408,0.0
