Feature,Importance
25124_87406,0.018920759857715887
25128_87419,0.018037791064355813
25126_87413,0.017987335704735236
25137_87454,0.01748278210852948
25137_87455,0.01748278210852948
25129_87420,0.017230505310426598
25120_87395,0.017180049950806024
25118_87388,0.01677640707384142
25107_87362,0.016599813315169402
25107_87363,0.016599813315169402
25123_87403,0.016574585635359115
25126_87412,0.016448447236307676
25108_87365,0.016397991876687102
25118_87389,0.016372764196876815
25102_87351,0.016246625797825372
25123_87402,0.016221398118015085
25130_87424,0.016196170438204798
25138_87456,0.015969121319912204
25138_87457,0.015842982920860765
25121_87398,0.015817755241050484
25130_87425,0.015792527561240187
25102_87353,0.015742072201619616
25128_87418,0.01571684452180933
25139_87458,0.015716844521809326
25139_87459,0.015716844521809326
25111_87372,0.015540250763137312
25111_87373,0.015540250763137312
25112_87374,0.015035697166931556
25112_87375,0.015035697166931556
25122_87400,0.01490955876788012
25124_87405,0.014833875728449256
25125_87409,0.01475819268901839
25122_87401,0.014581598930346374
25108_87364,0.014556371250536089
25125_87410,0.013976134614899468
25110_87371,0.013824768536037741
25100_87347,0.013143621181159967
25100_87348,0.013143621181159967
25120_87394,0.012184969348369027
25113_87378,0.012159741668558745
25121_87396,0.012109286308938164
25119_87391,0.012084058629127878
25114_87379,0.012058830949317593
25114_87380,0.012058830949317593
25116_87383,0.011932692550266156
25116_87384,0.011932692550266156
25113_87377,0.011806554151214711
25127_87416,0.011503821993491257
25135_87450,0.011402911274250109
25135_87451,0.010999268397285504
25129_87421,0.010620853200131187
25124_87407,0.010166754963546005
25120_87393,0.010015388884684276
25121_87397,0.009510835288478516
25117_87385,0.008955826332652185
25117_87386,0.008955826332652185
25110_87369,0.00870354953454931
25127_87415,0.00817376825853326
25110_87370,0.008123312898912693
25103_87354,0.008047629859481827
25103_87355,0.008047629859481827
25136_87453,0.007643986982517219
25136_87452,0.007366482504604049
25095_87335,0.007215116425742327
25119_87390,0.007063750346880601
25129_87422,0.006912384268018869
25118_87387,0.006483513711243973
25097_87341,0.006357375312192537
25097_87342,0.006357375312192537
25095_87337,0.00633214763238225
25105_87358,0.006130326193899947
25105_87359,0.006130326193899947
25119_87392,0.0057771386765559166
25108_87366,0.005726683316935341
25128_87417,0.005045535962057571
25127_87414,0.004288705567748935
25115_87381,0.004011201089835771
25115_87382,0.004011201089835771
25104_87356,0.003885062690784329
25104_87357,0.003885062690784329
25102_87352,0.0038093796513534684
25096_87338,0.003203915335906559
25123_87404,0.003077776936855117
25098_87343,0.002674134059890511
25098_87344,0.002674134059890511
25106_87360,0.00257322334064936
25106_87361,0.00257322334064936
25096_87340,0.0025479956608390735
25109_87367,0.002497540301218497
25109_87368,0.002497540301218497
25101_87349,0.002169580463684757
25101_87350,0.002169580463684757
25122_87399,0.0021443527838744727
25099_87345,0.0019425313453921616
25099_87346,0.0019425313453921616
25113_87376,0.001412750069376124
25126_87411,0.001084790231842381
25095_87336,0.001009107192411518
25130_87423,0.0006306919952572013
25096_87339,0.0006306919952571987
25125_87408,0.0006054643154469118
