Feature,Importance
25119_87391,0.055301047120418625
25118_87387,0.049738219895287775
25112_87374,0.040903141361256376
25112_87375,0.040903141361256376
25125_87410,0.030431937172774776
25120_87394,0.029450261780104594
25108_87365,0.029123036649214555
25137_87454,0.024869109947643922
25137_87455,0.024869109947643922
25110_87369,0.023887434554973705
25122_87400,0.023887434554973705
25118_87388,0.019960732984293145
25121_87396,0.017670157068062776
25100_87347,0.017670157068062742
25100_87348,0.017670157068062742
25136_87453,0.017015706806282734
25121_87398,0.01603403141361255
25136_87452,0.015379581151832475
25120_87393,0.01472513089005223
25130_87425,0.014397905759162293
25129_87422,0.013416230366492109
25128_87419,0.013089005235602072
25113_87378,0.012761780104712102
25103_87354,0.012761780104712033
25103_87355,0.012761780104712033
25121_87397,0.012434554973822063
25117_87385,0.012434554973821996
25117_87386,0.012434554973821996
25123_87404,0.012434554973821996
25125_87409,0.012434554973821961
25113_87377,0.011125654450261842
25110_87370,0.01112565445026181
25130_87424,0.011125654450261742
25123_87402,0.01079842931937177
25129_87421,0.010798429319371736
25111_87372,0.0107984293193716
25111_87373,0.0107984293193716
25126_87413,0.010471204188481631
25124_87405,0.010471204188481461
25102_87353,0.01014397905759166
25127_87416,0.009816753926701656
25095_87335,0.009816753926701451
25135_87450,0.008835078534031473
25135_87451,0.008835078534031473
25101_87349,0.00883507853403144
25101_87350,0.00883507853403144
25102_87351,0.008507853403141367
25104_87356,0.008507853403141367
25104_87357,0.008507853403141367
25114_87379,0.008180628272251397
25114_87380,0.008180628272251397
25118_87389,0.00818062827225133
25129_87420,0.006544502617801104
25120_87395,0.006217277486910828
25102_87352,0.005235602094240883
25119_87390,0.005235602094240883
25107_87362,0.004908376963350879
25107_87363,0.004908376963350879
25099_87345,0.004908376963350845
25099_87346,0.004908376963350845
25096_87339,0.004581151832460875
25139_87458,0.004581151832460806
25139_87459,0.004581151832460806
25106_87360,0.004253926701570803
25106_87361,0.004253926701570803
25124_87406,0.004253926701570768
25127_87415,0.0042539267015707346
25113_87376,0.00392670157068073
25110_87371,0.0039267015706805596
25108_87364,0.0035994764397906925
25115_87381,0.0035994764397906244
25115_87382,0.0035994764397906244
25138_87457,0.002945026178010548
25123_87403,0.0026178010471205096
25138_87456,0.0026178010471205096
25096_87338,0.0022905759162304717
25105_87358,0.0022905759162304374
25105_87359,0.0022905759162304374
25128_87418,0.0022905759162304374
25097_87341,0.0019633507853404333
25097_87342,0.0019633507853404333
25127_87414,0.0019633507853403995
25116_87383,0.0019633507853403314
25116_87384,0.0019633507853403314
25122_87399,0.001963350785340229
25124_87407,0.001636125654450395
25128_87417,0.001636125654450395
25096_87340,0.001636125654450157
25109_87367,0.001636125654450157
25109_87368,0.001636125654450157
25126_87411,0.0013089005235602889
25125_87408,0.0009816753926702167
25095_87337,0.0009816753926700805
25108_87366,0.0006544502617802466
25119_87392,0.0006544502617802125
25098_87343,0.0006544502617799742
25098_87344,0.0006544502617799742
25122_87401,0.0003272251308901403
25126_87412,0.0003272251308901403
25130_87423,0.0003272251308900722
25095_87336,1.021216270360372e-16
